"P<sub>res</sub>, <span units="pressure"><span unitfor="PvtCalculatorForm[pressure]">atm</span></span>","T<sub>res</sub>, <span units="temperature"><span unitfor="PvtCalculatorForm[temperature]">C</span></span>","R<sub>s</sub>, <span units="Rs"><span unitfor="PvtCalculatorForm[Rs]">m<sup>3</sup>/m<sup>3</sup></span></span>","ρ<sub>oil</sub>, <span units="density"><span unitfor="PvtCalculatorForm[density]">kg/m<sup>3</sup></span></span>","B<sub>oil</sub>, <span units="fvf"><span unitfor="PvtCalculatorForm[fvf]">m<sup>3</sup>/m<sup>3</sup></span></span>","μ<sub>oil</sub>, <span units="viscosity"><span unitfor="PvtCalculatorForm[viscosity]">cP</span></span>","C<sub>oil</sub>, <span units="compressibility"><span unitfor="PvtCalculatorForm[compressibility]">atm<sup>-1</sup></span></span>","σ<sub>oil</sub>, <span units="tension"><span unitfor="PvtCalculatorForm[tension]">dyn/cm</span></span>"
"90","60","66.1","741.7","1.19","0.85","0.0003","10.7"
"91","60","66.7","741.3","1.191","0.85","0.0003","10.7"
"92","60","67.2","740.8","1.192","0.84","0.0003","10.6"
"93","60","67.8","740.4","1.194","0.84","0.0003","10.5"
"94","60","68.4","740","1.195","0.84","0.0003","10.4"
"95","60","69","739.6","1.196","0.83","0.0003","10.3"
"96","60","69.6","739.2","1.198","0.83","0.0003","10.2"
"97","60","70.2","738.8","1.199","0.82","0.0003","10.2"
"98","60","70.8","738.4","1.2","0.82","0.0003","10.1"
"99","60","71.4","738","1.201","0.82","0.0003","10"
"100","60","72","737.6","1.203","0.81","0.0003","9.92"
"101","60","72.6","737.2","1.204","0.81","0.0003","9.84"
"102","60","73.2","736.8","1.205","0.8","0.0003","9.76"
"103","60","73.7","736.4","1.207","0.8","0.0003","9.69"
"104","60","74.3","736","1.208","0.8","0.0003","9.61"
"105","60","74.9","735.6","1.209","0.79","0.0003","9.53"
"106","60","75.5","735.2","1.21","0.79","0.0003","9.46"
"107","60","76.1","734.8","1.212","0.79","0.0003","9.38"
"108","60","76.7","734.4","1.213","0.78","0.0003","9.3"
"109","60","77.3","734","1.214","0.78","0.0003","9.23"
"110","60","77.9","733.6","1.216","0.78","0.0003","9.15"
"111","60","78.5","733.2","1.217","0.77","0.0003","9.08"
"112","60","79.1","732.8","1.218","0.77","0.0003","9"
"113","60","79.7","732.4","1.22","0.77","0.0003","8.93"
"114","60","80.3","732","1.221","0.76","0.0003","8.86"
"115","60","80.9","731.6","1.222","0.76","0.0003","8.78"
"116","60","81.5","731.3","1.224","0.76","0.0003","8.71"
"117","60","82.1","730.9","1.225","0.75","0.0003","8.64"
"118","60","82.7","730.5","1.226","0.75","0.0003","8.56"
"119","60","83.3","730.1","1.228","0.75","0.0003","8.49"
"120","60","84","729.7","1.229","0.74","0.0003","8.42"
"121","60","84.6","729.3","1.23","0.74","0.0003","8.35"
"122","60","85.2","728.9","1.231","0.74","0.0003","8.28"
"123","60","85.8","728.5","1.233","0.73","0.0003","8.21"
"124","60","86.4","728.1","1.234","0.73","0.0002","8.14"
"125","60","87","727.7","1.235","0.73","0.0002","8.07"
"126","60","87.6","727.3","1.237","0.73","0.0002","8"
"127","60","88.2","726.9","1.238","0.72","0.0002","7.93"
"128","60","88.8","726.5","1.24","0.72","0.0002","7.86"
"129","60","89.5","726.1","1.241","0.72","0.0002","7.79"
"130","60","90.1","725.7","1.242","0.71","0.0002","7.72"
"131","60","90.7","725.3","1.244","0.71","0.0002","7.65"
"132","60","91.3","724.9","1.245","0.71","0.0002","7.59"
"133","60","92","724.5","1.246","0.71","0.0002","7.52"
"134","60","92.6","724.1","1.248","0.7","0.0002","7.45"
"135","60","93.2","723.7","1.249","0.7","0.0002","7.38"
"136","60","93.8","723.3","1.25","0.7","0.0002","7.32"
"137","60","94.5","722.9","1.252","0.69","0.0002","7.25"
"138","60","95.1","722.5","1.253","0.69","0.0002","7.18"
"139","60","95.7","722.1","1.255","0.69","0.0002","7.12"
"140","60","96.4","721.8","1.256","0.69","0.0002","7.05"
"141","60","97","721.4","1.257","0.68","0.0002","6.99"
"142","60","97.6","721","1.259","0.68","0.0002","6.92"
"143","60","98.3","720.6","1.26","0.68","0.0002","6.86"
"144","60","98.9","720.2","1.262","0.68","0.0002","6.79"
"145","60","99.5","719.8","1.263","0.67","0.0002","6.73"
"146","60","100.2","719.4","1.264","0.67","0.0002","6.66"
"147","60","100.8","719","1.266","0.67","0.0002","6.6"
"148","60","101.5","718.6","1.267","0.67","0.0002","6.53"
"149","60","102.1","718.2","1.269","0.66","0.0002","6.47"
"150","60","102.8","717.8","1.27","0.66","0.0002","6.41"
"151","60","103.4","717.4","1.271","0.66","0.0002","6.34"
"152","60","104.1","717","1.273","0.66","0.0002","6.28"
"153","60","104.7","716.6","1.274","0.65","0.0002","6.22"
"154","60","105.4","716.2","1.276","0.65","0.0002","6.16"
"155","60","106.1","715.8","1.277","0.65","0.0002","6.09"
"156","60","106.7","715.4","1.279","0.65","0.0002","6.03"
"157","60","107.4","714.9","1.28","0.64","0.0002","5.97"
"158","60","108","714.5","1.282","0.64","0.0002","5.91"
"159","60","108.7","714.1","1.283","0.64","0.0002","5.85"
"160","60","109.4","713.7","1.285","0.64","0.0002","5.79"
"161","60","110","713.3","1.286","0.63","0.0002","5.73"
"162","60","110.7","712.9","1.287","0.63","0.0002","5.67"
"163","60","111.4","712.5","1.289","0.63","0.0002","5.6"
"164","60","112.1","712.1","1.29","0.63","0.0002","5.54"
"165","60","112.7","711.7","1.292","0.63","0.0002","5.48"
"166","60","113.4","711.3","1.293","0.62","0.0002","5.42"
"167","60","114.1","710.9","1.295","0.62","0.0002","5.36"
"168","60","114.8","710.5","1.296","0.62","0.0002","5.31"
"169","60","115.5","710.1","1.298","0.62","0.0002","5.25"
"170","60","116.2","709.7","1.3","0.61","0.0002","5.19"
"171","60","116.9","709.3","1.301","0.61","0.0002","5.13"
"172","60","117.6","708.8","1.303","0.61","0.0002","5.07"
"173","60","118.2","708.4","1.304","0.61","0.0002","5.01"
"174","60","118.9","708","1.306","0.61","0.0002","4.95"
"175","60","119.6","707.6","1.307","0.6","0.0002","4.89"
"176","60","120.3","707.2","1.309","0.6","0.0002","4.84"
"177","60","121.1","706.8","1.31","0.6","0.0002","4.78"
"178","60","121.8","706.4","1.312","0.6","0.0002","4.72"
"179","60","122.5","706","1.313","0.59","0.0002","4.66"
"180","60","123.2","705.5","1.315","0.59","0.0002","4.61"
"181","60","123.9","705.1","1.317","0.59","0.0002","4.55"
"182","60","124.6","704.7","1.318","0.59","0.0002","4.49"
"183","60","125.3","704.3","1.32","0.59","0.0002","4.44"
"184","60","126.1","703.9","1.321","0.58","0.0002","4.38"
"185","60","126.8","703.5","1.323","0.58","0.0002","4.32"
"186","60","127.5","703","1.325","0.58","0.0002","4.27"
"187","60","128.2","702.6","1.326","0.58","0.0002","4.21"
"188","60","129","702.2","1.328","0.58","0.0002","4.15"
"189","60","129.7","701.8","1.329","0.57","0.0002","4.1"
"190","60","130.4","701.3","1.331","0.57","0.0002","4.04"
"191","60","131.2","700.9","1.333","0.57","0.0002","3.99"
"192","60","131.9","700.5","1.334","0.57","0.0002","3.93"
"193","60","132.7","700.1","1.336","0.57","0.0002","3.88"
"194","60","133.4","699.7","1.338","0.56","0.0002","3.82"
"195","60","134.2","699.2","1.339","0.56","0.0002","3.77"
"196","60","134.9","698.8","1.341","0.56","0.0002","3.71"
"197","60","135.7","698.4","1.343","0.56","0.0002","3.66"
"198","60","136.4","698","1.344","0.56","0.0002","3.6"
"199","60","137.2","697.5","1.346","0.56","0.0002","3.55"
"200","60","137.9","697.1","1.348","0.55","0.0002","3.5"
"201","60","138.7","696.7","1.349","0.55","0.0002","3.44"
"202","60","139.5","696.3","1.351","0.55","0.0002","3.39"
"203","60","140.2","695.9","1.353","0.55","0.0002","3.33"
"204","60","141","695.4","1.354","0.55","0.0002","3.28"
"205","60","141.8","695","1.356","0.54","0.0002","3.23"
"206","60","142.6","694.5","1.358","0.54","0.0002","3.17"
"207","60","143.3","694.1","1.36","0.54","0.0002","3.12"
"208","60","144.1","693.6","1.362","0.54","0.0002","3.07"
"209","60","144.9","693.2","1.363","0.54","0.0002","3.02"
"210","60","145.7","692.7","1.365","0.54","0.0002","2.96"
"211","60","146.5","692.3","1.367","0.53","0.0002","2.91"
"212","60","147.3","691.8","1.369","0.53","0.0002","2.86"
"213","60","148.1","691.4","1.371","0.53","0.0002","2.81"
"214","60","148.9","691","1.372","0.53","0.0002","2.75"
"215","60","149.7","690.6","1.374","0.53","0.0002","2.7"
"216","60","150.5","690.1","1.376","0.53","0.0002","2.65"
"217","60","151.3","689.7","1.378","0.52","0.0002","2.6"
"218","60","152.1","689.3","1.379","0.52","0.0002","2.55"
"219","60","153","688.8","1.381","0.52","0.0002","2.5"
"220","60","153.8","688.4","1.383","0.52","0.0002","2.44"
"221","60","154.6","687.9","1.385","0.52","0.0002","2.39"
"222","60","155.4","687.5","1.387","0.51","0.0002","2.34"
"223","60","156.2","687","1.389","0.51","0.0002","2.29"
"224","60","157.1","686.6","1.39","0.51","0.0002","2.24"
"225","60","157.9","686.1","1.392","0.51","0.0002","2.19"
"226","60","158.8","685.7","1.394","0.51","0.0002","2.14"
"227","60","159.6","685.2","1.396","0.51","0.0002","2.09"
"228","60","160.4","684.8","1.398","0.51","0.0002","2.04"
"229","60","161.3","684.3","1.4","0.5","0.0002","1.99"
"230","60","162.1","683.9","1.402","0.5","0.0002","1.94"
"231","60","163","683.4","1.404","0.5","0.0002","1.89"
"232","60","163.8","683","1.406","0.5","0.0002","1.84"
"233","60","164.7","682.5","1.408","0.5","0.0002","1.79"
"234","60","165.6","682.1","1.41","0.5","0.0002","1.74"
"235","60","166.4","681.6","1.412","0.49","0.0002","1.69"
"236","60","167.3","681.2","1.413","0.49","0.0002","1.64"
"237","60","168.2","680.7","1.415","0.49","0.0002","1.59"
"238","60","169.1","680.3","1.417","0.49","0.0002","1.54"
"239","60","169.9","679.8","1.419","0.49","0.0002","1.49"
"240","60","170.8","679.3","1.421","0.49","0.0002","1.44"
"241","60","171.7","678.9","1.423","0.48","0.0002","1.4"
"242","60","172.6","678.4","1.425","0.48","0.0002","1.35"
"243","60","173.5","678","1.427","0.48","0.0002","1.3"
"244","60","174.4","677.5","1.429","0.48","0.0002","1.25"
"245","60","175.3","677","1.431","0.48","0.0002","1.2"
"246","60","176.2","676.6","1.434","0.48","0.0002","1.15"
"247","60","177.1","676.1","1.436","0.48","0.0002","1.11"
"248","60","178","675.6","1.438","0.47","0.0002","1.06"
"249","60","178.9","675.2","1.44","0.47","0.0002","1.03"
"250","60","179.8","674.7","1.442","0.47","0.0002","1.01"
"251","60","180.8","674.3","1.444","0.47","0.0002","1"
"252","60","181.7","673.8","1.446","0.47","0.0002","1"
"253","60","182.6","673.4","1.448","0.47","0.0002","1"
"254","60","183.6","672.9","1.45","0.47","0.0002","1"
"255","60","184.5","672.5","1.452","0.46","0.0002","1"
"256","60","185.4","672","1.454","0.46","0.0002","1"
"257","60","186.4","671.5","1.456","0.46","0.0002","1"
"258","60","187.3","671.1","1.458","0.46","0.0002","1"
"259","60","188.3","670.6","1.461","0.46","0.0002","1"
"260","60","189.2","670.1","1.463","0.46","0.0002","1"
"261","60","190.2","669.7","1.465","0.46","0.0002","1"
"262","60","191.1","669.2","1.467","0.45","0.0002","1"
"263","60","192.1","668.7","1.469","0.45","0.0002","1"
"264","60","193.1","668.2","1.471","0.45","0.0002","1"
"265","60","194","667.8","1.474","0.45","0.0002","1"
"266","60","195","667.3","1.476","0.45","0.0002","1"
"267","60","196","666.8","1.478","0.45","0.0002","1"
"268","60","197","666.3","1.48","0.45","0.0002","1"
"269","60","198.2","665.8","1.483","0.44","0.0002","1"
"270","60","199.4","665.2","1.486","0.44","0.0002","1"
"270.1","60","199.5","665.1","1.486","0.44","0.0002","1"
"271","60","200","665","1.487","0.44","0.0002","1"
"272","60","200","665.3","1.486","0.44","0.0002","1"
"273","60","200","665.5","1.486","0.44","0.0002","1"
"274","60","200","665.7","1.485","0.44","0.0002","1"
"275","60","200","666","1.485","0.44","0.0002","1"
"276","60","200","666.2","1.484","0.44","0.0002","1"
"277","60","200","666.4","1.484","0.45","0.0002","1"
"278","60","200","666.7","1.483","0.45","0.0002","1"
"279","60","200","666.9","1.483","0.45","0.0002","1"
"280","60","200","667.1","1.482","0.45","0.0002","1"
"281","60","200","667.4","1.482","0.45","0.0002","1"
"282","60","200","667.6","1.481","0.45","0.0002","1"
"283","60","200","667.8","1.481","0.45","0.0002","1"
"284","60","200","668","1.48","0.45","0.0002","1"
"285","60","200","668.3","1.48","0.45","0.0002","1"
"286","60","200","668.5","1.479","0.45","0.0002","1"
"287","60","200","668.7","1.479","0.45","0.0002","1"
"288","60","200","668.9","1.478","0.45","0.0002","1"
"289","60","200","669.1","1.478","0.45","0.0002","1"
"290","60","200","669.4","1.477","0.45","0.0002","1"
"291","60","200","669.6","1.477","0.45","0.0002","1"
"292","60","200","669.8","1.476","0.45","0.0002","1"
"293","60","200","670","1.476","0.45","0.0002","1"
"294","60","200","670.2","1.475","0.46","0.0002","1"
"295","60","200","670.4","1.475","0.46","0.0002","1"
"296","60","200","670.7","1.474","0.46","0.0002","1"
"297","60","200","670.9","1.474","0.46","0.0002","1"
"298","60","200","671.1","1.473","0.46","0.0002","1"
"299","60","200","671.3","1.473","0.46","0.0002","1"
"300","60","200","671.5","1.472","0.46","0.0002","1"
"301","60","200","671.7","1.472","0.46","0.0002","1"
"302","60","200","671.9","1.472","0.46","0.0002","1"
"303","60","200","672.1","1.471","0.46","0.0002","1"
"304","60","200","672.3","1.471","0.46","0.0002","1"
"305","60","200","672.5","1.47","0.46","0.0002","1"
"306","60","200","672.7","1.47","0.46","0.0002","1"
"307","60","200","672.9","1.469","0.46","0.0002","1"
"308","60","200","673.1","1.469","0.46","0.0002","1"
"309","60","200","673.3","1.468","0.46","0.0002","1"
"310","60","200","673.5","1.468","0.47","0.0002","1"
"311","60","200","673.7","1.468","0.47","0.0002","1"
"312","60","200","673.9","1.467","0.47","0.0002","1"
"313","60","200","674.1","1.467","0.47","0.0002","1"
"314","60","200","674.3","1.466","0.47","0.0002","1"
"315","60","200","674.5","1.466","0.47","0.0002","1"
"316","60","200","674.7","1.465","0.47","0.0002","1"
"317","60","200","674.9","1.465","0.47","0.0002","1"
"318","60","200","675.1","1.465","0.47","0.0002","1"
"319","60","200","675.3","1.464","0.47","0.0002","1"
"320","60","200","675.5","1.464","0.47","0.0002","1"
"321","60","200","675.7","1.463","0.47","0.0002","1"
"322","60","200","675.9","1.463","0.47","0.0002","1"
"323","60","200","676.1","1.462","0.47","0.0002","1"
"324","60","200","676.3","1.462","0.47","0.0002","1"
"325","60","200","676.5","1.462","0.47","0.0002","1"
"326","60","200","676.7","1.461","0.48","0.0002","1"
"327","60","200","676.9","1.461","0.48","0.0002","1"
"328","60","200","677","1.46","0.48","0.0002","1"
"329","60","200","677.2","1.46","0.48","0.0002","1"
"330","60","200","677.4","1.46","0.48","0.0002","1"
"331","60","200","677.6","1.459","0.48","0.0002","1"
"332","60","200","677.8","1.459","0.48","0.0002","1"
"333","60","200","678","1.458","0.48","0.0002","1"
"334","60","200","678.2","1.458","0.48","0.0002","1"
"335","60","200","678.3","1.458","0.48","0.0002","1"
"336","60","200","678.5","1.457","0.48","0.0002","1"
"337","60","200","678.7","1.457","0.48","0.0002","1"
"338","60","200","678.9","1.456","0.48","0.0002","1"
"339","60","200","679.1","1.456","0.48","0.0002","1"
"340","60","200","679.2","1.456","0.48","0.0002","1"
"341","60","200","679.4","1.455","0.49","0.0002","1"
"342","60","200","679.6","1.455","0.49","0.0002","1"
"343","60","200","679.8","1.455","0.49","0.0002","1"
"344","60","200","680","1.454","0.49","0.0002","1"
"345","60","200","680.1","1.454","0.49","0.0002","1"
"346","60","200","680.3","1.453","0.49","0.0002","1"
"347","60","200","680.5","1.453","0.49","0.0002","1"
"348","60","200","680.7","1.453","0.49","0.0002","1"
"349","60","200","680.8","1.452","0.49","0.0002","1"
"350","60","200","681","1.452","0.49","0.0002","1"
"351","60","200","681.2","1.452","0.49","0.0002","1"
"352","60","200","681.4","1.451","0.49","0.0002","1"
"353","60","200","681.5","1.451","0.49","0.0002","1"
"354","60","200","681.7","1.45","0.49","0.0002","1"
"355","60","200","681.9","1.45","0.5","0.0002","1"
"356","60","200","682","1.45","0.5","0.0002","1"
"357","60","200","682.2","1.449","0.5","0.0002","1"
"358","60","200","682.4","1.449","0.5","0.0002","1"
"359","60","200","682.6","1.449","0.5","0.0002","1"
"360","60","200","682.7","1.448","0.5","0.0002","1"
"361","60","200","682.9","1.448","0.5","0.0002","1"
"362","60","200","683.1","1.448","0.5","0.0002","1"
"363","60","200","683.2","1.447","0.5","0.0002","1"
"364","60","200","683.4","1.447","0.5","0.0002","1"
"365","60","200","683.6","1.446","0.5","0.0002","1"
"366","60","200","683.7","1.446","0.5","0.0002","1"
"367","60","200","683.9","1.446","0.5","0.0002","1"
"368","60","200","684","1.445","0.5","0.0002","1"
"369","60","200","684.2","1.445","0.51","0.0002","1"
"370","60","200","684.4","1.445","0.51","0.0002","1"
"371","60","200","684.5","1.444","0.51","0.0002","1"
"372","60","200","684.7","1.444","0.51","0.0002","1"
"373","60","200","684.9","1.444","0.51","0.0002","1"
"374","60","200","685","1.443","0.51","0.0002","1"
"375","60","200","685.2","1.443","0.51","0.0002","1"
"376","60","200","685.3","1.443","0.51","0.0002","1"
"377","60","200","685.5","1.442","0.51","0.0002","1"
"378","60","200","685.7","1.442","0.51","0.0002","1"
"379","60","200","685.8","1.442","0.51","0.0002","1"
"380","60","200","686","1.441","0.51","0.0002","1"
