"P<sub>res</sub>, <span units="pressure"><span unitfor="PvtCalculatorForm[pressure]">atm</span></span>","T<sub>res</sub>, <span units="temperature"><span unitfor="PvtCalculatorForm[temperature]">C</span></span>","R<sub>s</sub>, <span units="Rs"><span unitfor="PvtCalculatorForm[Rs]">m<sup>3</sup>/m<sup>3</sup></span></span>","ρ<sub>oil</sub>, <span units="density"><span unitfor="PvtCalculatorForm[density]">kg/m<sup>3</sup></span></span>","B<sub>oil</sub>, <span units="fvf"><span unitfor="PvtCalculatorForm[fvf]">m<sup>3</sup>/m<sup>3</sup></span></span>","μ<sub>oil</sub>, <span units="viscosity"><span unitfor="PvtCalculatorForm[viscosity]">cP</span></span>","C<sub>oil</sub>, <span units="compressibility"><span unitfor="PvtCalculatorForm[compressibility]">atm<sup>-1</sup></span></span>","σ<sub>oil</sub>, <span units="tension"><span unitfor="PvtCalculatorForm[tension]">dyn/cm</span></span>"
"433","60","200","693.8","1.425","0.55","0.0001","1"
"434","60","200","693.9","1.425","0.55","0.0001","1"
"435","60","200","694","1.425","0.56","0.0001","1"
"436","60","200","694.2","1.424","0.56","0.0001","1"
"437","60","200","694.3","1.424","0.56","0.0001","1"
"438","60","200","694.4","1.424","0.56","0.0001","1"
"439","60","200","694.6","1.424","0.56","0.0001","1"
"440","60","200","694.7","1.423","0.56","0.0001","1"
"441","60","200","694.8","1.423","0.56","0.0001","1"
"442","60","200","695","1.423","0.56","0.0001","1"
"443","60","200","695.1","1.422","0.56","0.0001","1"
"444","60","200","695.2","1.422","0.56","0.0001","1"
"445","60","200","695.4","1.422","0.56","0.0001","1"
"446","60","200","695.5","1.422","0.56","0.0001","1"
"447","60","200","695.6","1.421","0.57","0.0001","1"
"448","60","200","695.8","1.421","0.57","0.0001","1"
"449","60","200","695.9","1.421","0.57","0.0001","1"
"450","60","200","696","1.421","0.57","0.0001","1"
"451","60","200","696.2","1.42","0.57","0.0001","1"
"452","60","200","696.3","1.42","0.57","0.0001","1"
"453","60","200","696.4","1.42","0.57","0.0001","1"
"454","60","200","696.5","1.42","0.57","0.0001","1"
"455","60","200","696.7","1.419","0.57","0.0001","1"
"456","60","200","696.8","1.419","0.57","0.0001","1"
"457","60","200","696.9","1.419","0.57","0.0001","1"
"458","60","200","697.1","1.418","0.57","0.0001","1"
"459","60","200","697.2","1.418","0.57","0.0001","1"
"460","60","200","697.3","1.418","0.58","0.0001","1"
"461","60","200","697.4","1.418","0.58","0.0001","1"
"462","60","200","697.6","1.417","0.58","0.0001","1"
"463","60","200","697.7","1.417","0.58","0.0001","1"
"464","60","200","697.8","1.417","0.58","0.0001","1"
"465","60","200","698","1.417","0.58","0.0001","1"
"466","60","200","698.1","1.416","0.58","0.0001","1"
"467","60","200","698.2","1.416","0.58","0.0001","1"
"468","60","200","698.3","1.416","0.58","0.0001","1"
"469","60","200","698.5","1.416","0.58","0.0001","1"
"470","60","200","698.6","1.415","0.58","0.0001","1"
"471","60","200","698.7","1.415","0.58","0.0001","1"
"472","60","200","698.8","1.415","0.59","0.0001","1"
"473","60","200","699","1.415","0.59","0.0001","1"
"474","60","200","699.1","1.414","0.59","0.0001","1"
"475","60","200","699.2","1.414","0.59","0.0001","1"
"476","60","200","699.3","1.414","0.59","0.0001","1"
"477","60","200","699.4","1.414","0.59","0.0001","1"
"478","60","200","699.6","1.413","0.59","0.0001","1"
"479","60","200","699.7","1.413","0.59","0.0001","1"
"480","60","200","699.8","1.413","0.59","0.0001","1"
"481","60","200","699.9","1.413","0.59","0.0001","1"
"482","60","200","700.1","1.412","0.59","0.0001","1"
"483","60","200","700.2","1.412","0.59","0.0001","1"
"484","60","200","700.3","1.412","0.6","0.0001","1"
"485","60","200","700.4","1.412","0.6","0.0001","1"
"486","60","200","700.5","1.411","0.6","0.0001","1"
"487","60","200","700.7","1.411","0.6","0.0001","1"
"488","60","200","700.8","1.411","0.6","0.0001","1"
"489","60","200","700.9","1.411","0.6","0.0001","1"
"490","60","200","701","1.41","0.6","0.0001","1"
"491","60","200","701.1","1.41","0.6","0.0001","1"
"492","60","200","701.3","1.41","0.6","0.0001","1"
"493","60","200","701.4","1.41","0.6","0.0001","1"
"494","60","200","701.5","1.409","0.6","0.0001","1"
"495","60","200","701.6","1.409","0.6","0.0001","1"
"496","60","200","701.7","1.409","0.61","0.0001","1"
"497","60","200","701.8","1.409","0.61","0.0001","1"
"498","60","200","701.9","1.409","0.61","0.0001","1"
"499","60","200","701.9","1.409","0.61","0.0001","1"
"500","60","200","701.9","1.409","0.61","0.0001","1"
